number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
63,0.7276914379454607,2024-04-20 01:45:29.587100,2024-04-20 01:45:51.889529,0 days 00:00:22.302429,128,64,0.0007152330748358094,169,2,PRUNED
64,3.056981185414144,2024-04-20 01:45:51.889783,2024-04-20 01:46:01.288624,0 days 00:00:09.398841,128,64,8.621582066329081e-05,50,3,PRUNED
65,0.542605913790646,2024-04-20 01:46:01.288871,2024-04-20 01:46:23.668593,0 days 00:00:22.379722,128,64,0.00012127055788772313,166,2,COMPLETE
66,0.573488218539598,2024-04-20 01:46:23.668927,2024-04-20 01:46:52.346645,0 days 00:00:28.677718,64,64,0.00012253073281629021,160,2,PRUNED
67,1.1180812563722498,2024-04-20 01:46:52.347022,2024-04-20 01:47:06.681122,0 days 00:00:14.334100,128,32,0.00016137115367754687,165,2,PRUNED
68,0.7665096388352628,2024-04-20 01:47:06.681374,2024-04-20 01:47:26.535916,0 days 00:00:19.854542,128,64,7.77391427493737e-05,149,2,PRUNED
69,0.5902493442525927,2024-04-20 01:47:26.536220,2024-04-20 01:48:28.448520,0 days 00:01:01.912300,32,64,5.123452249637204e-05,214,2,PRUNED
70,1.9390784600712603,2024-04-20 01:48:28.449335,2024-04-20 01:48:52.184923,0 days 00:00:23.735588,128,64,3.7836361521890476e-05,184,2,PRUNED
71,0.5583439854991357,2024-04-20 01:48:52.185336,2024-04-20 01:49:01.267304,0 days 00:00:09.081968,128,64,0.000438343107294221,68,2,COMPLETE
72,0.6008254490940776,2024-04-20 01:49:01.267676,2024-04-20 01:49:18.517746,0 days 00:00:17.250070,128,64,0.00027436446253279237,138,2,PRUNED
73,0.5628607307838288,2024-04-20 01:49:18.518030,2024-04-20 01:49:28.161533,0 days 00:00:09.643503,128,64,0.00032783709420761544,74,2,PRUNED
74,0.5534958871389856,2024-04-20 01:49:28.161794,2024-04-20 01:49:44.167614,0 days 00:00:16.005820,128,64,0.0001642222503510723,126,2,COMPLETE
75,0.58069242957412,2024-04-20 01:49:44.167939,2024-04-20 01:49:59.553485,0 days 00:00:15.385546,128,64,0.00013535758939270628,125,2,PRUNED
