number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
52,1.2693555708752562,2024-04-19 22:42:38.052640,2024-04-19 22:42:56.562072,0 days 00:00:18.509432,128,32,0.00011585228414290636,134,3,COMPLETE
53,1.2692502228629512,2024-04-19 22:42:56.563205,2024-04-19 22:43:20.558725,0 days 00:00:23.995520,128,32,0.0003407375226236327,155,3,COMPLETE
54,1.2494542706091671,2024-04-19 22:43:20.559889,2024-04-19 22:43:33.966433,0 days 00:00:13.406544,128,32,0.00014223880029905724,105,3,COMPLETE
55,1.2500267403804703,2024-04-19 22:43:33.967044,2024-04-19 22:44:15.499247,0 days 00:00:41.532203,64,64,6.087689852249262e-05,130,3,COMPLETE
56,1.361363406923433,2024-04-19 22:44:15.500238,2024-04-19 22:45:14.856550,0 days 00:00:59.356312,128,64,2.603962256125747e-05,173,3,PRUNED
57,1.3379000371655092,2024-04-19 22:45:14.857428,2024-04-19 22:45:35.202428,0 days 00:00:20.345000,128,32,0.00043798207433165927,145,3,PRUNED
58,1.4424145846966876,2024-04-19 22:45:35.203329,2024-04-19 22:46:30.352355,0 days 00:00:55.149026,32,64,0.00021888198358135483,72,3,PRUNED
59,1.2260055500150517,2024-04-19 22:46:30.353192,2024-04-19 22:47:04.693626,0 days 00:00:34.340434,64,64,8.678642070844869e-05,113,3,COMPLETE
60,1.3125837933938236,2024-04-19 22:47:04.694608,2024-04-19 22:47:35.772353,0 days 00:00:31.077745,64,64,0.04491173072082504,82,3,PRUNED
61,1.2678615970327365,2024-04-19 22:47:35.773247,2024-04-19 22:48:08.455738,0 days 00:00:32.682491,64,64,3.7800058122389386e-05,116,3,COMPLETE
62,1.2892459016762032,2024-04-19 22:48:08.456772,2024-04-19 22:48:57.005636,0 days 00:00:48.548864,64,64,8.594586690661827e-05,160,3,PRUNED
63,1.2413512677546368,2024-04-19 22:48:57.006520,2024-04-19 22:49:26.130344,0 days 00:00:29.123824,64,64,0.00011460266715248718,111,3,COMPLETE
64,1.2489435233027728,2024-04-19 22:49:26.130718,2024-04-19 22:49:52.418555,0 days 00:00:26.287837,64,64,5.6592241035450615e-05,102,3,COMPLETE
65,1.2290381579999103,2024-04-19 22:49:52.419058,2024-04-19 22:50:12.721750,0 days 00:00:20.302692,64,64,0.00013277753484527117,73,3,COMPLETE
66,1.2283565720185536,2024-04-19 22:50:12.722076,2024-04-19 22:50:33.269565,0 days 00:00:20.547489,64,64,0.00014262395079558666,74,3,COMPLETE
67,1.232568010747038,2024-04-19 22:50:33.269888,2024-04-19 22:50:55.741892,0 days 00:00:22.472004,64,64,0.00013182870677678297,74,3,COMPLETE
68,1.2601736941084956,2024-04-19 22:50:55.742788,2024-04-19 22:51:08.667821,0 days 00:00:12.925033,64,64,0.00017130048981273168,60,2,PRUNED
69,1.6239031059063034,2024-04-19 22:51:08.668738,2024-04-19 22:51:32.059213,0 days 00:00:23.390475,64,64,0.0003557499651425993,76,3,PRUNED
70,1.2855357500101559,2024-04-19 22:51:32.060168,2024-04-19 22:51:56.653097,0 days 00:00:24.592929,64,64,4.513979860769494e-05,85,3,PRUNED
